categories,description,height,length,name,price,sku,stock,tags,weight,width
"mud fish,pokemon","In water, Mudkip breathes using the gills on its cheeks. If it is faced with a tight situation in battle, this Pokémon will unleash its amazing power—it can crush rocks bigger than itself.",1,1,Mudkip,140.0,5363,193,"mud fish,mudkip,torrent",16.8,1
"blaze,pokemon",Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened.,6,6,Blaziken,40.0,7662,139,"blaze,blaziken",114.6,6
"pokemon,young fowl",Combusken battles with the intensely hot flames it spews from its beak and with outstandingly destructive kicks. This Pokémon’s cry is very loud and distracting.,2,2,Combusken,68.0,9912,257,"blaze,combusken,young fowl",43.0,2
"chick,pokemon",Torchic has a place inside its body where it keeps its flame. Give it a hug—it will be glowing with warmth. This Pokémon is covered all over by a fluffy coat of down.,1,1,Torchic,28.0,5952,290,"blaze,chick,torchic",5.5,1
"forest,pokemon",Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.,5,5,Sceptile,37.0,4619,159,"forest,overgrow,sceptile",115.1,5
"pokemon,wood gecko","This Pokémon adeptly flies from branch to branch in trees. In a forest, no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.",2,2,Grovyle,190.0,9191,195,"grovyle,overgrow,wood gecko",47.6,2
"pokemon,wood gecko","Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground.",1,1,Treecko,96.0,4817,93,"overgrow,treecko,wood gecko",11.0,1
"pokemon,time travel","This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.",2,2,Celebi,111.0,1144,154,"celebi,natural cure,time travel",11.0,2
"pokemon,rainbow",Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,12,12,Ho-oh,91.0,2198,228,"ho-oh,pressure,rainbow",438.7,12
"diving,pokemon","Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.",17,17,Lugia,86.0,2564,57,"diving,lugia,pressure",476.2,17
"armor,pokemon","Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight.",6,6,Tyranitar,190.0,8144,86,"armor,sand stream,tyranitar",445.3,6
"butterfly,pokemon","Beautifly has a long mouth like a coiled needle, which is very convenient for collecting pollen from flowers. This Pokémon rides the spring winds as it flits around gathering pollen.",3,3,Beautifly,145.0,4100,42,"beautifly,butterfly,swarm",62.6,3
"cocoon,pokemon","Silcoon was thought to endure hunger and not consume anything before its evolution. However, it is now thought that this Pokémon slakes its thirst by drinking rainwater that collects on its silk.",2,2,Silcoon,80.0,4018,86,"cocoon,shed skin,silcoon",22.0,2
"pokemon,seagull",Wingull rides updrafts rising from the sea by extending its long and narrow wings to glide. This Pokémon’s long beak is useful for catching prey.,2,2,Wingull,153.0,4325,41,"keen eye,seagull,wingull",20.9,2
"pokemon,swallow","Swellow is very conscientious about the upkeep of its glossy wings. Once two Swellow are gathered, they diligently take care of cleaning each other’s wings.",2,2,Swellow,88.0,6736,257,"guts,swallow,swellow",43.7,2
"pokemon,tiny swallow","Taillow is young—it has only just left its nest. As a result, it sometimes becomes lonesome and cries at night. This Pokémon feeds on Wurmple that live in forests.",1,1,Taillow,85.0,5591,204,"guts,taillow,tiny swallow",5.1,1
"pokemon,wicked",Shiftry’s large fans generate awesome gusts of wind at a speed close to 100 feet per second. The whipped-up wind blows anything away. This Pokémon chooses to live quietly deep in forests.,4,4,Shiftry,157.0,6957,232,"chlorophyll,shiftry,wicked",131.4,4
"pokemon,wily",This Pokémon pulls out the leaf on its head and makes a flute with it. The sound of Nuzleaf’s flute strikes fear and uncertainty in the hearts of people lost in a forest.,3,3,Nuzleaf,26.0,3835,216,"chlorophyll,nuzleaf,wily",61.7,3
"acorn,pokemon",Seedot looks exactly like an acorn when it is dangling from a tree branch. It startles other Pokémon by suddenly moving. This Pokémon polishes its body once a day using leaves.,1,1,Seedot,26.0,8692,28,"acorn,chlorophyll,seedot",8.8,1
"carefree,pokemon","Upon hearing an upbeat and cheerful rhythm, the cells in Ludicolo’s body become very energetic and active. Even in battle, this Pokémon will exhibit an amazing amount of power.",4,4,Ludicolo,189.0,6718,181,"carefree,ludicolo,swift swim",121.3,4
"jolly,pokemon","Lombre’s entire body is covered by a slippery, slimy film. It feels horribly unpleasant to be touched by this Pokémon’s hands. Lombre is often mistaken for a human child.",3,3,Lombre,79.0,9674,203,"jolly,lombre,swift swim",71.6,3
"pokemon,water weed","Lotad is said to have dwelled on land before. However, this Pokémon is thought to have returned to water because the leaf on its head grew large and heavy. It now lives by floating atop the water.",1,1,Lotad,161.0,5098,187,"lotad,swift swim,water weed",5.7,1
"poison moth,pokemon","When Dustox flaps its wings, a fine dust is scattered all over. This dust is actually a powerful poison that will even make a pro wrestler sick. This Pokémon searches for food using its antennae like radar.",3,3,Dustox,91.0,4491,23,"dustox,poison moth,shield dust",69.7,3
"cocoon,pokemon","If it is attacked, Cascoon remains motionless however badly it may be hurt. It does so because if it were to move, its body would be weak upon evolution. This Pokémon will also not forget the pain it endured.",2,2,Cascoon,166.0,3702,122,"cascoon,cocoon,shed skin",25.4,2
"pokemon,worm",Wurmple is targeted by Swellow as prey. This Pokémon will try to resist by pointing the spikes on its rear at the attacking predator. It will weaken the foe by leaking poison from the spikes.,1,1,Wurmple,195.0,4841,34,"shield dust,worm,wurmple",7.9,1
"pokemon,rushing","When hunting, Linoone will make a beeline straight for the prey at a full run. While this Pokémon is capable of topping 60 mph, it has to come to a screeching halt before it can turn.",1,1,Linoone,81.0,5845,24,"linoone,pickup,rushing",71.6,1
"pokemon,tiny raccoon",The hair on Zigzagoon’s back is bristly. It rubs the hard back hair against trees to leave its territorial markings. This Pokémon may play dead to fool foes in battle.,1,1,Zigzagoon,83.0,5175,281,"pickup,tiny raccoon,zigzagoon",38.6,1
"big voice,pokemon","Loudred shouts while stamping its feet. After it finishes shouting, this Pokémon becomes incapable of hearing anything for a while. This is considered to be a weak point.",3,3,Loudred,145.0,8065,95,"big voice,loudred,soundproof",89.3,3
"pokemon,whisper","Whismur is very timid. If it starts to cry loudly, it becomes startled by its own crying and cries even harder. When it finally stops crying, the Pokémon goes to sleep, all tired out.",2,2,Whismur,137.0,1446,216,"soundproof,whismur,whisper",35.9,2
"pokemon,shed",Shedinja is a peculiar Pokémon. It seems to appear unsought in a Poké Ball after a Nincada evolves. This bizarre Pokémon is entirely immobile—it doesn’t even breathe.,2,2,Shedinja,128.0,2572,152,"shed,shedinja,wonder guard",2.6,2
"ninja,pokemon","If Ninjask is not trained properly, it will refuse to obey the Trainer and cry loudly continuously. Because of this quality, this Pokémon is said to be one that puts the Trainer’s abilities to the test.",2,2,Ninjask,161.0,5002,276,"ninja,ninjask,speed boost",26.5,2
"pokemon,trainee",Nincada lives underground. It uses its sharp claws to carve the roots of trees and absorb moisture and nutrients. This Pokémon can’t withstand bright sunlight so avoids it.,1,1,Nincada,38.0,4001,239,"compound eyes,nincada,trainee",12.1,1
"lazy,pokemon","Wherever Slaking live, rings of over a yard in diameter appear in grassy fields. They are made by the Pokémon as it eats all the grass within reach while lying prone on the ground.",6,6,Slaking,119.0,3413,145,"lazy,slaking,truant",287.7,6
"pokemon,wild monkey","Vigoroth is simply incapable of remaining still. Even when it tries to sleep, the blood in its veins grows agitated, compelling this Pokémon to run wild throughout the jungle before it can settle down.",4,4,Vigoroth,25.0,9710,299,"vigoroth,vital spirit,wild monkey",102.5,4
"pokemon,slacker","Slakoth’s heart beats just once a minute. Whatever happens, it is content to loaf around motionless. It is rare to see this Pokémon in motion.",2,2,Slakoth,69.0,6989,300,"slacker,slakoth,truant",52.9,2
"mushroom,pokemon",The seeds ringing Breloom’s tail are made of hardened toxic spores. It is horrible to eat the seeds. Just taking a bite of this Pokémon’s seed will cause your stomach to rumble.,3,3,Breloom,113.0,7305,250,"breloom,effect spore,mushroom",86.4,3
"mushroom,pokemon","If Shroomish senses danger, it shakes its body and scatters spores from the top of its head. This Pokémon’s spores are so toxic, they make trees and weeds wilt.",1,1,Shroomish,31.0,8176,160,"effect spore,mushroom,shroomish",9.9,1
"eyeball,pokemon","Masquerain’s antennas have eyelike patterns that usually give it an angry look. If the “eyes” are droopy and appear sad, it is said to be a sign that a heavy rainfall is on its way.",2,2,Masquerain,39.0,4576,99,"eyeball,intimidate,masquerain",7.9,2
"pokemon,pond skater","If Surskit senses danger, it secretes a thick, sugary syrup from the tip of its head. There are some Pokémon that love eating this syrup.",1,1,Surskit,112.0,4453,41,"pond skater,surskit,swift swim",3.7,1
"embrace,pokemon",Gardevoir has the psychokinetic power to distort the dimensions and create a small black hole. This Pokémon will try to protect its Trainer even at the risk of its own life.,5,5,Gardevoir,34.0,8609,178,"embrace,gardevoir,synchronize",106.7,5
"emotion,pokemon","Kirlia uses the horns on its head to amplify its psychokinetic power. When the Pokémon uses its power, the air around it becomes distorted, creating mirages of nonexistent scenery.",2,2,Kirlia,186.0,1243,148,"emotion,kirlia,synchronize",44.5,2
"feeling,pokemon","Ralts has the ability to sense the emotions of people. If its Trainer is in a cheerful mood, this Pokémon grows cheerful and joyous in the same way.",1,1,Ralts,151.0,1217,35,"feeling,ralts,synchronize",14.6,1
"pokemon,water bird","Pelipper searches for food while in flight by skimming the wave tops. This Pokémon dips its large bill in the sea to scoop up food, then swallows everything in one big gulp.",3,3,Pelipper,158.0,2276,296,"keen eye,pelipper,water bird",61.7,3
"discharge,pokemon",Manectric discharges strong electricity from its mane. The mane is used for collecting electricity in the atmosphere. This Pokémon creates thunderclouds above its head.,4,4,Manectric,76.0,5500,237,"discharge,manectric,static",88.6,4
"lightning,pokemon","Electrike runs faster than the human eye can follow. The friction from running is converted into electricity, which is then stored in this Pokémon’s fur.",2,2,Electrike,145.0,8674,124,"electrike,lightning,static",33.5,2
"meditate,pokemon","Through the power of meditation, Medicham developed its sixth sense. It gained the ability to use psychokinetic powers. This Pokémon is known to meditate for a whole month without eating.",4,4,Medicham,77.0,2121,150,"medicham,meditate,pure power",69.4,4
"meditate,pokemon",Meditite heightens its inner energy through meditation. It survives on just one berry a day. Minimal eating is another aspect of this Pokémon’s training.,2,2,Meditite,97.0,8998,11,"meditate,meditite,pure power",24.7,2
"iron armor,pokemon","Aggron is protective of its environment. If its mountain is ravaged by a landslide or a fire, this Pokémon will haul topsoil to the area, plant trees, and beautifully restore its own territory.",6,6,Aggron,140.0,1323,61,"aggron,iron armor,rock head",793.7,6
"iron armor,pokemon","Lairon feeds on iron contained in rocks and water. It makes its nest on mountains where iron ore is buried. As a result, the Pokémon often clashes with humans mining the iron ore.",2,2,Lairon,70.0,7087,236,"iron armor,lairon,rock head",264.6,2
"iron armor,pokemon","Aron has a body of steel. With one all-out charge, this Pokémon can demolish even a heavy dump truck. The destroyed dump truck then becomes a handy meal for the Pokémon.",1,1,Aron,149.0,1520,104,"aron,iron armor,rock head",132.3,1
"deceiver,pokemon","Don’t be taken in by this Pokémon’s cute face—it’s very dangerous. Mawile fools the foe into letting down its guard, then chomps down with its massive jaws. The steel jaws are really horns that have been transformed.",2,2,Mawile,119.0,2329,133,"deceiver,intimidate,mawile",25.4,2
"darkness,pokemon",Sableye digs the ground with sharpened claws to find rocks that it eats. Substances in the eaten rocks crystallize and rise up to the Pokémon’s body surface.,1,1,Sableye,81.0,2323,12,"darkness,keen eye,sableye",24.3,1
"pokemon,prim","Delcatty sleeps anywhere it wants without keeping a permanent nest. If other Pokémon approach it as it sleeps, this Pokémon will never fight—it will just move away somewhere else.",3,3,Delcatty,170.0,3487,148,"cute charm,delcatty,prim",71.9,3
"kitten,pokemon","Skitty is known to chase around playfully after its own tail. In the wild, this Pokémon lives in holes in the trees of forests. It is very popular as a pet because of its adorable looks.",2,2,Skitty,156.0,7257,27,"cute charm,kitten,skitty",24.3,2
"compass,pokemon","Nosepass had been said to be completely unmoving, with its magnetic nose pointed due north. However, close observation has revealed that the Pokémon actually moves by a little over 3/8 of an inch every year.",3,3,Nosepass,41.0,5893,111,"compass,nosepass,sturdy",213.8,3
"pokemon,polka dot","Azurill’s tail is large and bouncy. It is packed full of the nutrients this Pokémon needs to grow. Azurill can be seen bouncing and playing on its big, rubbery tail.",,,Azurill,70.0,7001,37,"azurill,polka dot,thick fat",4.4,
"arm thrust,pokemon","Hariyama’s thick body may appear fat, but it is actually a hunk of solid muscle. If this Pokémon bears down and tightens all its muscles, its body becomes as hard as a rock.",7,7,Hariyama,176.0,2656,275,"arm thrust,guts,hariyama",559.5,7
"guts,pokemon","Makuhita has a tireless spirit—it will never give up hope. It eats a lot of food, gets plenty of sleep, and it trains very rigorously. By living that way, this Pokémon packs its body with energy.",3,3,Makuhita,30.0,2035,109,"guts,makuhita",190.5,3
"loud noise,pokemon",Exploud communicates its feelings to the others by emitting whistle-like sounds from the tubes on its body. This Pokémon only raises its voice when it is in battle.,4,4,Exploud,161.0,2334,89,"exploud,loud noise,soundproof",185.2,4
"cheering,pokemon","When Plusle is cheering on its partner, it flashes with electric sparks from all over its body. If its partner loses, this Pokémon cries loudly.",1,1,Plusle,56.0,5972,243,"cheering,plus,plusle",9.3,1
"manipulate,pokemon","Grumpig uses the black pearls on its body to wield its fantastic powers. When it is doing so, it dances bizarrely. This Pokémon’s black pearls are valuable as works of art.",2,2,Grumpig,182.0,6263,60,"grumpig,manipulate,own tempo",157.6,2
"bounce,pokemon",Spoink keeps a pearl on top of its head. The pearl functions to amplify this Pokémon’s psychokinetic powers. It is therefore on a constant search for a bigger pearl.,2,2,Spoink,163.0,7700,208,"bounce,own tempo,spoink",67.5,2
"coal,pokemon","Torkoal generates energy by burning coal. It grows weaker as the fire dies down. When it is preparing for battle, this Pokémon burns more coal.",1,1,Torkoal,98.0,4605,282,"coal,torkoal,white smoke",177.2,1
"eruption,pokemon",The humps on Camerupt’s back are formed by a transformation of its bones. They sometimes blast out molten magma. This Pokémon apparently erupts often when it is enraged.,6,6,Camerupt,124.0,7274,27,"camerupt,eruption,magma armor",485.0,6
"numb,pokemon","Numel stores magma of almost 2,200 degrees Fahrenheit within its body. If it gets wet, the magma cools and hardens. In that event, the Pokémon’s body grows heavy and its movements become sluggish.",2,2,Numel,170.0,1767,179,"numb,numel,oblivious",52.9,2
"float whale,pokemon","When chasing prey, Wailord herds them by leaping out of the water and making a humongous splash. It is breathtaking to see this Pokémon leaping out of the sea with others in its pod.",47,47,Wailord,150.0,7833,47,"float whale,oblivious,wailord",877.4,47
"ball whale,pokemon","Wailmer can store water inside its body to transform itself into a ball for bouncing around on the ground. By filling itself up with more water, this Pokémon can elevate the height of its bounces.",6,6,Wailmer,90.0,7524,115,"ball whale,oblivious,wailmer",286.6,6
"brutal,pokemon",Sharpedo can swim at speeds of up to 75 mph by jetting seawater out of its backside. This Pokémon’s drawback is its inability to swim long distances.,5,5,Sharpedo,129.0,8327,160,"brutal,rough skin,sharpedo",195.8,5
"pokemon,savage","If anything invades Carvanha’s territory, it will swarm and tear at the intruder with its pointed fangs. On its own, however, this Pokémon turns suddenly timid.",2,2,Carvanha,25.0,8826,80,"carvanha,rough skin,savage",45.9,2
"poison bag,pokemon","Swalot has no teeth, so what it eats, it swallows whole, no matter what. Its cavernous mouth yawns widely. An automobile tire could easily fit inside this Pokémon’s mouth.",5,5,Swalot,130.0,2075,133,"liquid ooze,poison bag,swalot",176.4,5
"pokemon,stomach",Most of Gulpin’s body is made up of its stomach—its heart and brain are very small in comparison. This Pokémon’s stomach contains special enzymes that dissolve anything.,1,1,Gulpin,136.0,5122,35,"gulpin,liquid ooze,stomach",22.7,1
"pokemon,thorn","On extremely rare occasions, a Roselia is said to appear with its flowers in unusual colors. The thorns on this Pokémon’s head contain a vicious poison.",1,1,Roselia,90.0,2703,114,"poison point,roselia,thorn",4.4,1
"firefly,pokemon",Illumise leads a flight of illuminated Volbeat to draw signs in the night sky. This Pokémon is said to earn greater respect from its peers by composing more complex designs in the sky.,2,2,Illumise,167.0,7540,77,"firefly,illumise,tinted lens",39.0,2
"firefly,pokemon","Volbeat’s tail glows like a lightbulb. With other Volbeat, it uses its tail to draw geometric shapes in the night sky. This Pokémon loves the sweet aroma given off by Illumise.",2,2,Volbeat,123.0,1715,79,"firefly,swarm,volbeat",39.0,2
"cheering,pokemon","Minun loves to cheer on its partner in battle. It gives off sparks from its body while it is doing so. If its partner is in trouble, this Pokémon gives off increasing amounts of sparks.",1,1,Minun,193.0,2294,215,"cheering,minun,minus",9.3,1
"ant pit,pokemon",Trapinch is a patient hunter. It digs an inescapable pit in a desert and waits for its prey to come tumbling down. This Pokémon can go a whole week without access to any water.,2,2,Trapinch,116.0,4740,269,"ant pit,arena trap,trapinch",33.1,2
"pokemon,spot panda",No two Spinda are said to have identical spot patterns on their hides. This Pokémon moves in a curious manner as if it is stumbling in dizziness. Its lurching movements can cause the opponent to become confused.,3,3,Spinda,149.0,7350,156,"spinda,spot panda,tangled feet",11.0,3
"clay doll,pokemon","Claydol is an enigma that appeared from a clay statue made by an ancient civilization dating back 20,000 years. This Pokémon shoots beams from both its hands.",4,4,Claydol,197.0,3698,128,"clay doll,claydol,levitate",238.1,4
"clay doll,pokemon","As soon as it spots others of its kind, Baltoy congregates with them and then begins crying noisily in unison. This Pokémon sleeps while cleverly balancing itself on its one foot.",1,1,Baltoy,167.0,8305,159,"baltoy,clay doll,levitate",47.4,1
"pokemon,rogue","Crawdaunt molts (sheds) its shell regularly. Immediately after molting, its shell is soft and tender. Until the shell hardens, this Pokémon hides in its streambed burrow to avoid attack from its foes.",3,3,Crawdaunt,173.0,3652,21,"crawdaunt,rogue,shell armor",72.3,3
"pokemon,ruffian",Corphish catches prey with its sharp claws. It has no likes or dislikes when it comes to food—it will eat anything. This Pokémon has no trouble living in filthy water.,2,2,Corphish,178.0,8905,62,"corphish,ruffian,shell armor",25.4,2
"pokemon,whiskers","If Whiscash goes on a wild rampage, it sets off a quake-like tremor with a radius of over three miles. This Pokémon has the ability to predict real earthquakes.",2,2,Whiscash,179.0,6220,266,"oblivious,whiscash,whiskers",52.0,2
"meteorite,pokemon",Sunlight is the source of Solrock’s power. It is said to possess the ability to read the emotions of others. This Pokémon gives off intense heat while rotating its body.,3,3,Solrock,57.0,5510,91,"levitate,meteorite,solrock",339.5,3
"meteorite,pokemon","Lunatone becomes active around the time of the full moon. Instead of walking, it moves by floating in midair. The Pokémon’s intimidating red eyes cause all those who see it to become transfixed with fear.",3,3,Lunatone,177.0,5917,91,"levitate,lunatone,meteorite",370.4,3
"fang snake,pokemon",Seviper’s swordlike tail serves two purposes—it slashes foes and douses them with secreted poison. This Pokémon will not give up its long-running blood feud with Zangoose.,8,8,Seviper,107.0,9903,300,"fang snake,seviper,shed skin",115.7,8
"humming,pokemon",Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.,3,3,Altaria,104.0,9924,136,"altaria,humming,natural cure",45.4,3
"cotton bird,pokemon","Swablu loves to make things clean. If it spots something dirty, it will wipe and polish it with its cottony wings. If its wings become dirty, this Pokémon finds a stream and showers itself.",1,1,Swablu,121.0,3915,169,"cotton bird,natural cure,swablu",2.6,1
"pokemon,scarecrow","If a traveler is going through a desert in the thick of night, Cacturne will follow in a ragtag group. The Pokémon are biding their time, waiting for the traveler to tire and become incapable of moving.",4,4,Cacturne,31.0,8491,204,"cacturne,sand veil,scarecrow",170.6,4
"cactus,pokemon","The more arid and harsh the environment, the more pretty and fragrant a flower Cacnea grows. This Pokémon battles by wildly swinging its thorny arms.",1,1,Cacnea,105.0,5000,31,"cacnea,cactus,sand veil",113.1,1
"mystic,pokemon","Flygon whips up a sandstorm by flapping its wings. The wings create a series of notes that sound like singing. Because the “singing” is the only thing that can be heard in a sandstorm, this Pokémon is said to be the desert spirit.",6,6,Flygon,174.0,4103,42,"flygon,levitate,mystic",180.8,6
"pokemon,vibration","Vibrava’s wings have not yet completed the process of growing. Rather than flying long distances, they are more useful for generating ultrasonic waves by vibrating.",3,3,Vibrava,200.0,9249,218,"levitate,vibration,vibrava",33.7,3
"old shrimp,pokemon","Anorith is said to be a type of Pokémon predecessor, with eight wings at the sides of its body. This Pokémon swam in the primordial sea by undulating these eight wings.",2,2,Anorith,64.0,2511,222,"anorith,battle armor,old shrimp",27.6,2
"barnacle,pokemon","Cradily’s body serves as an anchor, preventing it from being washed away in rough seas. This Pokémon secretes a strong digestive fluid from its tentacles.",4,4,Cradily,154.0,5809,183,"barnacle,cradily,suction cups",133.2,4
"pokemon,sea lily","Lileep is an ancient Pokémon that was regenerated from a fossil. It remains permanently anchored to a rock. From its immobile perch, this Pokémon intently scans for prey with its two eyes.",3,3,Lileep,87.0,2965,268,"lileep,sea lily,suction cups",52.5,3
"bright,pokemon","Wynaut gather on moonlit nights to play by squeezing up against each other. By being squeezed, this Pokémon gains endurance and is trained to dole out powerful counterattacks.",2,2,Wynaut,168.0,9836,155,"bright,shadow tag,wynaut",30.9,2
"disaster,pokemon","Absol has the ability to foretell the coming of natural disasters. It lives in a harsh, rugged mountain environment. This Pokémon very rarely ventures down from the mountains.",3,3,Absol,134.0,3431,59,"absol,disaster,pressure",103.6,3
"pokemon,wind chime","In high winds, Chimecho cries as it hangs from a tree branch or the eaves of a building using a suction cup on its head. This Pokémon plucks berries with its long tail and eats them.",2,2,Chimecho,51.0,6688,43,"chimecho,levitate,wind chime",2.2,2
"fruit,pokemon",Children of the southern tropics eat as snacks the fruit that grows in bunches around the neck of Tropius. This Pokémon flies by flapping the leaves on its back as if they were wings.,6,6,Tropius,196.0,7266,66,"chlorophyll,fruit,tropius",220.5,6
"beckon,pokemon","Dusclops absorbs anything, however large the object may be. This Pokémon hypnotizes its foe by waving its hands in a macabre manner and by bringing its single eye to bear. The hypnotized foe is made to do Dusclops’s bidding.",5,5,Dusclops,39.0,4994,82,"beckon,dusclops,pressure",67.5,5
"pokemon,requiem",Duskull wanders lost among the deep darkness of midnight. There is an oft-told admonishment given to misbehaving children that this Pokémon will spirit away bad children who earn scoldings from their mothers.,2,2,Duskull,139.0,6627,75,"duskull,levitate,requiem",33.1,2
"marionette,pokemon","A cursed energy permeated the stuffing of a discarded and forgotten plush doll, giving it new life as Banette. The Pokémon’s energy would escape if it were to ever open its mouth.",3,3,Banette,104.0,6213,233,"banette,insomnia,marionette",27.6,3
"pokemon,puppet","Shuppet grows by feeding on dark emotions, such as vengefulness and envy, in the hearts of people. It roams through cities in search of grudges that taint people.",2,2,Shuppet,174.0,7348,138,"insomnia,puppet,shuppet",5.1,2
"color swap,pokemon","Kecleon alters its body coloration to blend in with its surroundings, allowing it to sneak up on its prey unnoticed. Then it lashes out with its long, stretchy tongue to instantly ensnare the unsuspecting target.",3,3,Kecleon,100.0,2351,53,"color change,color swap,kecleon",48.5,3
"pokemon,weather","Castform borrows the power of nature to transform itself into the guises of the sun, rain, and snow-clouds. This Pokémon’s feelings change with the weather.",1,1,Castform,119.0,9535,131,"castform,forecast,weather",1.8,1
"pokemon,tender","Milotic live at the bottom of large lakes. When this Pokémon’s body glows a vivid pink, it releases a pulsing wave of energy that brings soothing calm to troubled hearts.",20,20,Milotic,152.0,4867,79,"marvel scale,milotic,tender",357.1,20
"fish,pokemon","While Feebas’s body is in tatters, it has a hardy and tenacious life force that enables it to live anywhere. However, this Pokémon is also slow and dimwitted, making it an easy catch.",2,2,Feebas,194.0,6505,146,"feebas,fish,oblivious",16.3,2
"plate,pokemon","Armaldo is a Pokémon species that became extinct in prehistoric times. This Pokémon is said to have walked on its hind legs, which would have been more convenient for life on land.",4,4,Armaldo,42.0,3328,78,"armaldo,battle armor,plate",150.4,4
"pokemon,rendezvous",Luvdisc’s heart-shaped body is a symbol of love and romance. It is said that any couple meeting this Pokémon is promised a loving relationship that never ends.,2,2,Luvdisc,44.0,4868,190,"luvdisc,rendezvous,swift swim",19.2,2
"longevity,pokemon",Relicanth is a rare species that was discovered in deep-sea explorations. This Pokémon’s body withstands the enormous water pressure of the ocean depths. Its body is covered in tough scales that are like craggy rocks.,3,3,Relicanth,157.0,7988,14,"longevity,relicanth,rock head",51.6,3
"pokemon,south sea","Although Gorebyss is the very picture of elegance and beauty while swimming, it is also cruel. When it spots prey, this Pokémon inserts its thin mouth into the prey’s body and drains the prey of its body fluids.",5,5,Gorebyss,150.0,9428,165,"gorebyss,south sea,swift swim",49.8,5
"deep sea,pokemon","Huntail’s tail is shaped like a fish. It uses the tail to attract prey, then swallows the prey whole with its large, gaping mouth. This Pokémon swims by wiggling its slender body like a snake.",5,5,Huntail,52.0,2805,54,"deep sea,huntail,swift swim",59.5,5
"iron leg,pokemon","Metagross is the result of two Metang achieving fusion. When hunting, this Pokémon pins the prey to the ground under its massive body. It then eats the helpless victim using the large mouth on its stomach.",5,5,Metagross,170.0,8825,177,"clear body,iron leg,metagross",1212.5,5
"iron claw,pokemon","When two Beldum fuse together, Metang is formed. The brains of the Beldum are joined by a magnetic nervous system. This Pokémon turns its arms to the rear for traveling at high speed.",3,3,Metang,78.0,6906,227,"clear body,iron claw,metang",446.4,3
"iron ball,pokemon","Beldum keeps itself floating by generating a magnetic force that repels earth’s natural magnetism. When it sleeps, this Pokémon anchors itself to a cliff using the hooks on its rear.",2,2,Beldum,122.0,3484,93,"beldum,clear body,iron ball",209.9,2
"dragon,pokemon","By evolving into Salamence, this Pokémon finally realizes its long-held dream of growing wings. To express its joy, it flies and wheels all over the sky while spouting flames from its mouth.",4,4,Salamence,62.0,7686,242,"dragon,intimidate,salamence",226.2,4
"endurance,pokemon","Covering Shelgon’s body are outgrowths much like bones. The shell is very hard and bounces off enemy attacks. When awaiting evolution, this Pokémon hides away in a cavern.",3,3,Shelgon,56.0,1384,76,"endurance,rock head,shelgon",243.6,3
"pokemon,rock head","Bagon harbors a never-ending dream of one day soaring high among the clouds. As if trying to dispel its frustration over its inability to fly, this Pokémon slams its hard head against huge rocks and shatters them into pebbles.",2,2,Bagon,34.0,3372,232,"bagon,rock head",92.8,2
"bivalve,pokemon","Clamperl grows while being protected by its rock-hard shell. When its body becomes too large to fit inside the shell, it is sure evidence that this Pokémon is getting close to evolution.",1,1,Clamperl,48.0,2967,139,"bivalve,clamperl,shell armor",115.7,1
"ice break,pokemon","Walrein swims all over in frigid seawater while crushing icebergs with its grand, imposing tusks. Its thick layer of blubber makes enemy attacks bounce off harmlessly.",4,4,Walrein,27.0,1600,226,"ice break,thick fat,walrein",332.0,4
"ball roll,pokemon","Sealeo often balances and rolls things on the tip of its nose. While the Pokémon is rolling something, it checks the object’s aroma and texture to determine whether it likes the object or not.",3,3,Sealeo,160.0,4231,171,"ball roll,sealeo,thick fat",193.1,3
"clap,pokemon","Spheal always travels by rolling around on its ball-like body. When the season for ice floes arrives, this Pokémon can be seen rolling about on ice and crossing the sea.",2,2,Spheal,193.0,7748,170,"clap,spheal,thick fat",87.1,2
"face,pokemon","Glalie has the ability to freely control ice. For example, it can instantly freeze its prey solid. After immobilizing its prey in ice, this Pokémon enjoys eating it in leisurely fashion.",4,4,Glalie,178.0,8582,14,"face,glalie,inner focus",565.5,4
"pokemon,snow hat",Snorunt survives by eating only snow and ice. Old folklore claims that a house visited by this Pokémon is sure to prosper for many generations to come.,2,2,Snorunt,82.0,1099,80,"inner focus,snorunt,snow hat",37.0,2
"iron,pokemon",Registeel was imprisoned by people in ancient times. The metal composing its body is thought to be a curious substance that is not of this earth.,6,6,Registeel,196.0,6723,67,"clear body,iron,registeel",451.9,6
